entry_month,formation_month,PERMNO,Ticker,formation_ret,decile
2024-08-01,2024-07-01,86356,EBAY,0.36806461451237066,10.0
2024-08-01,2024-07-01,16851,DD,0.3680589246562061,10.0
2024-09-01,2024-08-01,81736,RMD,0.4169076405284497,10.0
2024-09-01,2024-08-01,82598,NTAP,0.3665226741124502,10.0
2024-09-01,2024-08-01,87356,TKO,0.4120390812076094,10.0
2024-09-01,2024-08-01,55976,WMT,0.33046071576895825,10.0
2024-09-01,2024-08-01,91611,FSLR,0.47748300412182804,10.0
2024-09-01,2024-08-01,52978,HAS,0.385229852578559,10.0
2024-09-01,2024-08-01,13901,MO,0.3740426351755633,10.0
2024-09-01,2024-08-01,90071,NRG,0.5538813842725783,10.0
2024-09-01,2024-08-01,79145,RCL,0.3345757150503896,10.0
2024-09-01,2024-08-01,40272,IFF,0.3897309080812273,10.0
2024-09-01,2024-08-01,80681,ESS,0.3292850632371717,10.0
2024-09-01,2024-08-01,57904,AFL,0.38118341317368293,10.0
2024-09-01,2024-08-01,24643,HWM,0.45457436599434364,10.0
2024-09-01,2024-08-01,86580,NVDA,0.5090701298909965,10.0
2024-09-01,2024-08-01,20894,APP,0.5550911201034032,10.0
2024-09-01,2024-08-01,20391,TPL,0.6807074032537945,10.0
2024-09-01,2024-08-01,79637,UHS,0.42598602390977947,10.0
2024-09-01,2024-08-01,51369,TER,0.3210435307414206,10.0
2024-09-01,2024-08-01,80183,MAA,0.3204791382065043,10.0
2024-09-01,2024-08-01,86868,GS,0.32729698532740703,10.0
2024-09-01,2024-08-01,83143,IRM,0.4629220094312506,10.0
2024-09-01,2024-08-01,75819,VTR,0.4969737308759612,10.0
2024-09-01,2024-08-01,79452,CPT,0.3518372047508258,10.0
2024-09-01,2024-08-01,21573,IP,0.3973373371295826,10.0
2024-09-01,2024-08-01,17830,RTX,0.39119181931712754,10.0
2024-09-01,2024-08-01,22293,GLW,0.3165829708445431,10.0
2024-09-01,2024-08-01,65947,WELL,0.3251138984673986,10.0
2024-09-01,2024-08-01,22592,MMM,0.752187103208277,10.0
2024-09-01,2024-08-01,19285,CARR,0.3175165417253564,10.0
2024-09-01,2024-08-01,76185,TYL,0.34480840875412067,10.0
2024-09-01,2024-08-01,12476,TRGP,0.5132301015129661,10.0
2024-09-01,2024-08-01,11533,FICO,0.36251524700085946,10.0
2024-09-01,2024-08-01,16655,CVNA,0.9836661273763123,10.0
2024-09-01,2024-08-01,16736,VST,0.5755654904147507,10.0
2024-09-01,2024-08-01,21178,LMT,0.3355289188630162,10.0
2024-09-01,2024-08-01,18421,FOX,0.41743838957311435,10.0
2024-09-01,2024-08-01,22779,MSI,0.34526450475274284,10.0
2024-09-01,2024-08-01,92602,PM,0.40760325610926046,10.0
2024-09-01,2024-08-01,67598,DOC,0.3707284331340225,10.0
2024-09-01,2024-08-01,24205,NEE,0.4778382620052885,10.0
2024-09-01,2024-08-01,18420,FOXA,0.40124796280894875,10.0
2024-09-01,2024-08-01,23712,PEG,0.31671917583311615,10.0
2024-09-01,2024-08-01,15315,GDDY,0.4665789792285662,10.0
2024-09-01,2024-08-01,64390,PGR,0.3317152729255701,10.0
2024-09-01,2024-08-01,85459,CHRW,0.4070740886586696,10.0
2024-09-01,2024-08-01,14889,CFG,0.4020096249411385,10.0
2024-09-01,2024-08-01,88837,GRMN,0.3473736892906978,10.0
2024-09-01,2024-08-01,21207,NEM,0.7318545728376047,10.0
2024-09-01,2024-08-01,12060,GE,0.4034138464518038,10.0
2024-09-01,2024-08-01,93246,GNRC,0.3912556004719636,10.0
2024-10-01,2024-09-01,12476,TRGP,0.33746803024308514,10.0
2024-10-01,2024-09-01,75819,VTR,0.48592702696814755,10.0
2024-10-01,2024-09-01,93002,AVGO,0.3099080960142821,10.0
2024-10-01,2024-09-01,19285,CARR,0.39317031981639755,10.0
2024-10-01,2024-09-01,83143,IRM,0.5014232136885675,10.0
2024-10-01,2024-09-01,16736,VST,0.7096370199606872,10.0
2024-10-01,2024-09-01,11533,FICO,0.5553026769388418,10.0
2024-10-01,2024-09-01,18421,FOX,0.36527994393071045,10.0
2024-10-01,2024-09-01,55976,WMT,0.35044136563571565,10.0
2024-10-01,2024-09-01,10104,ORCL,0.3647963108156929,10.0
2024-10-01,2024-09-01,76185,TYL,0.37342662151720624,10.0
2024-10-01,2024-09-01,23712,PEG,0.35692424844265414,10.0
